area_type,availability,location,size,society,total_sqft,bath,balcony,price,lat,lon
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungsha,1150,2.0,1.0,49.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1410,2.0,2.0,75.0,13.0195427,77.6831272
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Adsia F,2150,4.0,1.0,100.0,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2292,4.0,1.0,275.0,13.2923988,77.7519261
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1508,3.0,2.0,70.25,13.6073627,76.8036503
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa ,1040,2.0,2.0,50.0,13.0120218,77.6777817
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Lancy R,1240,2.0,1.0,60.0,13.0098552,77.6930892
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,1.0,78.0,12.8895775,77.6394582
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1180,2.0,2.0,75.0,Lakshminarayana Pura,Lakshminarayana Pura
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,,2200,6.0,2.0,68.0,13.0742739,77.5288653
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1400,2.0,2.0,78.0,12.8870547,77.5969483
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,500,1.0,1.0,25.0,17.3347866,78.6008776
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800,4.0,3.0,525.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,146.0,12.9252241,77.6367015
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3000,5.0,3.0,250.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,1960,3.0,3.0,160.0,12.9938796,77.7017538
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035,2.0,1.0,45.0,12.9252241,77.6367015
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,,2150,4.0,1.0,80.0,Vibuthipura,Vibuthipura
Built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,1700,3.0,2.0,115.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5.0,1.0,248.0,12.9301881,77.5378332
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1586,3.0,1.0,100.0,13.0156809,77.554045
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,120.0,12.8957681,77.8671014
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1120,2.0,2.0,55.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,CharkGr,1128,2.0,2.0,59.0,12.9252241,77.6367015
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,,1200,6.0,2.0,250.0,13.0399958,77.6269966
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,924,2.0,2.0,65.0,12.7852528,77.6380931
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1600,3.0,2.0,52.0,28.64012285,77.04603980792166
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1006,2.0,2.0,35.0,12.9942607,77.6666656
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Srncy R,1200,2.0,2.0,55.0,13.0665131,77.5966238
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,,1250,2.0,1.0,62.0,13.0533332,77.5306036
Plot  Area,Ready To Move,Defence Layout,3 Bedroom,,1200,3.0,1.0,130.0,12.98608625,77.61859998330249
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,56.0,13.2151923,77.6667197
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140,2.0,2.0,41.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,RortsCo,1050,2.0,1.0,67.0,12.91064,77.6238263
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1565,3.0,2.0,88.5,13.0044979,77.6603231
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GClmsun,1190,2.0,3.0,57.0,44.3730577,-71.6118577
Built-up  Area,18-Jan,Whitefield,3 Bedroom,,2842,3.0,2.0,162.0,44.3730577,-71.6118577
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1558.67,2.0,2.0,65.0,26.9291996,75.703282
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,,630,1.0,1.0,39.0,12.8496783,77.6649749
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Iseenst,1403,2.0,2.0,60.81,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SLourle,1542,2.0,3.0,85.0,26.9291996,75.703282
Built-up  Area,Ready To Move,Haralur Road,4 Bedroom,IDlleri,2750,4.0,0.0,220.0,12.8922203,77.6558048
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,290.0,12.922544,77.6633431
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1239,2.0,1.0,53.0,12.3872141,76.6669626
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0,12.8922203,77.6558048
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3.0,1.0,105.0,Dooravani Nagar,Dooravani Nagar
Super built-up  Area,17-Nov,Channasandra,2 BHK,Unm 2El,1009,2.0,1.0,38.34,12.9804938,77.7683853
Super built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1726,3.0,2.0,81.99,12.8747372,77.668964
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,86.0,12.8895775,77.6394582
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1300,2.0,1.0,58.5,12.9401275,77.5508062
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4.0,2.0,465.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Coconut Garden,3 BHK,,1800,3.0,3.0,80.0,13.6571942,99.95432608628622
Super built-up  Area,19-Dec,Binny Pete,1 BHK,Shestlo,665,1.0,0.0,50.75,Binny Pete,Binny Pete
Plot  Area,Ready To Move,Chamrajpet,9 Bedroom,,4050,7.0,1.0,1200.0,12.9569966,77.5633682
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1500,2.0,1.0,100.0,13.0098552,77.6930892
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,48.0,12.8845798,77.8609487
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,ArzzaRe,1395,2.0,1.0,63.59,13.7183597,77.579806
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2.0,1.0,55.0,13.4010184,77.8999295
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1419,2.0,2.0,59.0,41.9541918,3.2088349
Super built-up  Area,18-Feb,Kasavanhalli,2 BHK,Brersge,1121,2.0,2.0,78.0,Kasavanhalli,Kasavanhalli
Super built-up  Area,Ready To Move,Kambipura,3 BHK,,1082,2.0,1.0,45.0,13.0558284,77.9387039
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1100,2.0,1.0,47.0,13.007516,77.695935
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Keers S,1606,3.0,3.0,89.55,12.9919033,77.7162015
Built-up  Area,Ready To Move,Billekahalli,3 BHK,,1650,3.0,2.0,88.0,Billekahalli,Billekahalli
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,Niateki,4634,4.0,3.0,1015.0,D Souza Layout,D Souza Layout
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Vadel C,1206,2.0,3.0,75.0,62.4492326,-114.4062285
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,HIideSu,1495,2.0,0.0,64.0,12.9252241,77.6367015
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,,840,7.0,2.0,195.0,13.0027353,77.5703253
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,710,2.0,2.0,16.0,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Balagere,2 BHK,,1210,2.0,1.0,72.0,12.9377243,77.7280705
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523,2.0,2.0,53.4,12.9546741,77.5121724
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Krine C,1232,2.0,2.0,45.0,44.3730577,-71.6118577
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,680,1.0,1.0,44.0,12.8628843,76.4711677
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1355,3.0,1.0,83.87,13.0382184,77.5919
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.46,13.054713,77.6339258
Super built-up  Area,18-Jun,Kothannur,3 BHK,,1275,2.0,2.0,43.85,Kothannur,Kothannur
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,56.1,-6.1938201,106.8920008
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,,1200,3.0,1.0,85.0,Bettahalsoor,Bettahalsoor
Plot  Area,Ready To Move,Electronic City,4 Bedroom,,2000,4.0,0.0,120.0,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1200,2.0,2.0,40.0,12.9089453,77.6239038
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,SatatHa,1610,3.0,1.0,90.0,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2.0,2.0,43.0,12.8922203,77.6558048
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1143,2.0,2.0,38.65,17.3347866,78.6008776
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3467.86,6.0,3.0,249.0,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4,12.8628843,76.4711677
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980,2.0,2.0,69.0,12.91180425,77.5874942
Super built-up  Area,Ready To Move,Whitefield,3 BHK,ChodsGr,1485,3.0,2.0,65.0,44.3730577,-71.6118577
Plot  Area,18-May,Whitefield,3 Bedroom,WoarkEm,1500,3.0,1.0,130.0,44.3730577,-71.6118577
Super built-up  Area,18-Oct,Whitefield,2 BHK,Umods W,1280,2.0,1.0,75.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1265,2.0,2.0,85.0,13.054713,77.6339258
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,,1132,2.0,1.0,67.0,12.9810195,77.743212
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,SJcerpe,1262,2.0,2.0,63.0,13.0467537,77.6321873
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maentor,940,2.0,1.0,49.0,12.2655944,76.6465404
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,,1515,3.0,3.0,88.0,12.98241125,77.71319024278168
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1300,3.0,3.0,150.0,12.7852528,77.6380931
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,,1840,3.0,1.0,69.0,12.5805368,77.3330675
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,890,2.0,2.0,45.0,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,,1655,3.0,2.0,86.06,Rukmaiah Layout,Rukmaiah Layout
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2060,3.0,1.0,149.0,13.0258087,77.6305067
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,SNeur G,1730,3.0,1.0,96.0,12.9089453,77.6239038
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Leilo E,2195,4.0,2.0,127.0,13.1006982,77.5963454
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,,1650,3.0,2.0,125.0,12.9277134,77.5514022
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1200,2.0,0.0,71.0,13.007516,77.695935
Super built-up  Area,18-May,Hosa Road,2 BHK,,1079,2.0,1.0,32.37,12.8747372,77.668964
Super built-up  Area,19-Oct,Panathur,2 BHK,Caiya D,1085,2.0,1.0,36.0,12.9351457,77.7047541
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1075,2.0,1.0,51.5,13.1006982,77.5963454
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,,1380,2.0,1.0,80.0,Devanahalli Int. Airport,Devanahalli Int. Airport
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,,1450,3.0,1.0,65.0,14.5135506,75.0717624
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,1200,2.0,2.0,78.0,12.9547872,77.7213154
Super built-up  Area,21-Jul,Hoodi,3 BHK,GoAirej,1639,3.0,1.0,98.32,12.9919033,77.7162015
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2.0,1.0,54.0,13.0681863,77.6248026
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1739,3.0,1.0,116.0,29.2436472,73.5222553
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,935,2.0,1.0,32.72,13.0460773,77.7503908
Super built-up  Area,21-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,1.0,25.25,13.054713,77.6339258
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,,1200,6.0,3.0,180.0,13.0002719,77.6854795
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,PrestSe,1178,2.0,3.0,47.0,12.97516,77.7703403
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Siourpl,1375,2.0,1.0,50.0,12.9121916,77.5476337
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Halms S,1065,2.0,1.0,33.0,17.4436387,77.433391
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1450,2.0,1.0,50.75,13.0874059,77.5842414
Built-up  Area,Ready To Move,BEML Layout,2 BHK,,999,2.0,3.0,45.0,13.151252549999999,77.66932628424266
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,4400,3.0,2.0,475.0,13.0665131,77.5966238
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,,1350,4.0,1.0,135.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,Kothannur,2 BHK,,1100,2.0,2.0,40.0,Kothannur,Kothannur
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Wiass G,1835,2.0,3.0,155.0,13.2923988,77.7519261
Super built-up  Area,20-Dec,Hoodi,4 BHK,Caycend,2090,4.0,0.0,95.1,12.9919033,77.7162015
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1519,3.0,1.0,93.0,Lingadheeranahalli,Lingadheeranahalli
Built-up  Area,Ready To Move,Dommasandra,3 BHK,Asene S,1267,3.0,2.0,56.0,13.0974753,78.4516588
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Camesa ,1150,2.0,3.0,72.2,23.1485712,81.6048241
Super built-up  Area,19-Dec,Marathahalli,2 BHK,PrensKe,1146,2.0,1.0,70.0,12.9552572,77.6984163
Plot  Area,18-Feb,1st Block HRBR Layout,8 Bedroom,,1200,7.0,0.0,235.0,1st Block HRBR Layout,1st Block HRBR Layout
Built-up  Area,Ready To Move,Kannamangala,3 BHK,Marnaer,1550,3.0,3.0,65.0,13.2151923,77.6667197
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,850,1.0,1.0,18.5,17.4436387,77.433391
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,,3329,3.0,2.0,330.0,12.9252241,77.6367015
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,,785,1.0,1.0,55.0,12.8496783,77.6649749
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Avlya A,1610,3.0,2.0,74.0,17.3347866,78.6008776
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,921,2.0,2.0,40.0,12.93577245,77.66676103753434
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,,850,3.0,2.0,95.0,12.9159785,77.48243125
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,2700,5.0,0.0,158.0,12.8870547,77.5969483
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,1700,3.0,3.0,110.0,12.9252241,77.6367015
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,1020,2.0,2.0,35.0,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Dintsmi,1090,2.0,3.0,52.0,Billekahalli,Billekahalli
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,44.0,12.8922203,77.6558048
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,42.1,13.054713,77.6339258
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Prianhi,850,2.0,1.0,25.0,12.8529125,77.6556155
Built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,84.0,12.8920326,77.6550376733177
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,3.0,3.0,450.0,13.3152905,78.4787962
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,920,2.0,2.0,39.55,12.9089902,77.53274961607151
Super built-up  Area,Ready To Move,Chamrajpet,9 BHK,,716Sq. Meter,9.0,1.0,296.0,12.9569966,77.5633682
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,i1rtsCo,1105,2.0,1.0,65.0,17.3347866,78.6008776
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,1850,3.0,3.0,100.0,13.021834550000001,77.54768594156756
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1300,3.0,1.0,64.0,13.0874059,77.5842414
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,,1595,3.0,2.0,76.0,12.9566345,77.7343943
Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3073,5.0,2.0,696.0,13.359993,78.1225175
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,755,2.0,1.0,37.49,13.0366459,77.6548087
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,,4050,5.0,2.0,140.0,13.6529762,77.4971707
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,,1300,2.0,3.0,69.0,26.9291996,75.703282
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1215,2.0,0.0,50.0,12.8870547,77.5969483
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,46.0,26.9291996,75.703282
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,,1145,2.0,3.0,58.4,12.9245925,77.5645639
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,,1093,2.0,2.0,65.0,13.0057914,77.6396463
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,,1213,2.0,2.0,41.39,Babusapalaya,Babusapalaya
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,PrliaRe,1654,3.0,2.0,100.0,12.8870547,77.5969483
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1105,2.0,1.0,52.48,NGR Layout,NGR Layout
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,66.0,Babusapalaya,Babusapalaya
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,1367,2.0,2.0,62.0,12.9341152,77.5384483
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brntsal,1010,2.0,1.0,51.0,13.2483502,77.7134377
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,,750,2.0,1.0,75.0,Kavika Layout,Kavika Layout
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,SVon hn,1535,3.0,1.0,95.0,17.3324159,78.5981032
Super built-up  Area,Ready To Move,Anekal,2 BHK,,620,2.0,1.0,22.0,12.799122,77.68060437921743
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,982,2.0,1.0,47.65,13.0366459,77.6548087
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,,1700,2.0,2.0,150.0,12.9401275,77.5508062
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1330,2.0,1.0,71.0,44.3730577,-71.6118577
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,Ronty C,2500,3.0,2.0,135.0,12.2655944,76.6465404
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1475,2.0,2.0,58.99,12.9089902,77.53274961607151
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,BSisear,1410,3.0,1.0,65.0,Bhoganhalli,Bhoganhalli
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,440,1.0,1.0,16.5,13.0978039,77.5811889
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1614,3.0,2.0,95.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,GeereEc,1363,2.0,2.0,68.0,Neeladri Nagar,Neeladri Nagar
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,,650,2.0,0.0,28.0,13.104198,77.6170849
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,,1015,2.0,1.0,45.0,Dodda Kempaiah Layout,Dodda Kempaiah Layout
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1156,2.0,2.0,46.0,13.0133409,77.6618516
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,,1100,2.0,1.0,62.7,13.0258087,77.6305067
Super built-up  Area,18-Jan,KR Puram,3 BHK,,1455,3.0,2.0,46.0,13.007516,77.695935
Super built-up  Area,Ready To Move,GB Palya,2 BHK,Ravashw,930,2.0,1.0,45.0,GB Palya,GB Palya
Built-up  Area,Ready To Move,AMS Layout,3 BHK,,1650,2.0,2.0,80.0,AMS Layout,AMS Layout
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,,1200,2.0,0.0,90.0,13.007516,77.695935
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,,700,1.0,0.0,150.0,12.9191456,77.5938653
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,127.0,12.9985767,77.7609716
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Vaour S,2197,4.0,3.0,280.0,13.026143,77.5785554
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3522,3.0,2.0,380.0,13.0521017,77.6018107
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,,1240,2.0,2.0,46.0,Gaurava Nagar,Gaurava Nagar
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1440,2.0,2.0,98.0,13.0251863,77.6340078
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,,650,1.0,2.0,38.0,12.8966996,77.6124269
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,764,1.0,1.0,32.0,13.1351402,77.74957
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,,900,4.0,0.0,90.0,12.9127356,77.6380054
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,17.3347866,78.6008776
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1445,3.0,2.0,65.0,12.9919033,77.7162015
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,900,1.0,0.0,45.0,26.9291996,75.703282
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1381,2.0,2.0,52.48,13.1006982,77.5963454
Built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,60.0,16.0611721,76.6087213
Super built-up  Area,Ready To Move,Hoodi,3 BHK,,1575,3.0,2.0,66.39,12.9919033,77.7162015
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,,1200,2.0,1.0,65.0,13.0137105,77.4834544
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,43.2,12.8746006,77.6255106
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,1080,2.0,2.0,80.0,13.0044979,77.6603231
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,,1360,2.0,2.0,85.0,13.0195427,77.6831272
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1865,3.0,1.0,124.0,13.0784743,77.6068938
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,75.0,12.9252241,77.6367015
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,674,2.0,1.0,29.0,12.9964211,78.2918897
Super built-up  Area,Ready To Move,Whitefield,3 BHK,AdndeBe,1405,2.0,1.0,78.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,44.08,12.8746006,77.6255106
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,,1600,3.0,1.0,172.0,Kengeri Satellite Town ( BDA SITE),Kengeri Satellite Town ( BDA SITE)
Super built-up  Area,21-Mar,Hebbal,3 BHK,Oztarol,1790,3.0,2.0,127.0,13.0382184,77.5919
Super built-up  Area,18-May,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.65,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Panathur,2 BHK,Arentpa,1180,2.0,1.0,70.0,12.9351457,77.7047541
Built-up  Area,Ready To Move,AGS Layout,3 BHK,,1450,2.0,2.0,85.0,12.9127651,77.5340498
Built-up  Area,18-Mar,Kengeri,1 BHK,,340,1.0,1.0,10.0,12.9176571,77.4837568
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,,2000,3.0,1.0,166.0,34.0747444,74.8204443
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,53.5,12.8628843,76.4711677
Super built-up  Area,Ready To Move,Varthur,2 BHK,Pethaai,1125,2.0,2.0,40.0,12.9406152,77.7469937
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,68.0,12.8533901,77.6383481
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2.0,1.0,61.0,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,56.0,12.9055682,77.5455438
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,2465,5.0,2.0,234.0,Binny Pete,Binny Pete
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,,1300,2.0,3.0,55.0,13.0994854,77.8361008
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,,1420,1.0,0.0,220.0,40.28745,-76.964526
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,,810,4.0,1.0,50.0,12.53290595,77.54619068920488
